txn_id,region,amount_ksek,type,flag
T-00408,Syd,10.0,rent,
T-00409,Norden,10.7,rent,
T-00410,Norden,11.4,rent,
T-00411,Syd,12.1,rent,
T-00412,Norden,12.8,rent,
T-00413,Norden,13.5,rent,
T-00414,Syd,14.2,rent,
T-00415,Norden,14.9,rent,
T-00416,Norden,15.6,rent,
T-00417,Syd,16.3,rent,
T-00418,Norden,17.0,rent,
T-00419,Norden,17.7,rent,
T-00420,Syd,18.4,rent,
T-00421,Norden,19.1,rent,
T-00422,Norden,19.8,rent,
T-00423,Syd,20.5,rent,
T-00424,Norden,21.2,rent,
T-00425,Norden,10.0,rent,
T-00426,Syd,10.7,rent,
T-00427,Norden,11.4,rent,
T-00428,Norden,12.1,rent,
T-00429,Syd,12.8,rent,
T-00430,Norden,13.5,rent,
T-00431,Norden,14.2,rent,
T-00432,Syd,14.9,rent,
T-00433,Norden,15.6,rent,
T-00434,Norden,16.3,rent,
T-00435,Syd,17.0,rent,
T-00436,Norden,17.7,rent,
T-00437,Norden,18.4,rent,
T-00438,Syd,19.1,rent,
T-00439,Norden,19.8,rent,
T-00440,Norden,20.5,rent,
T-00441,Syd,21.2,rent,
T-00442,Norden,10.0,rent,
T-00443,Norden,10.7,rent,
T-00444,Syd,11.4,rent,
T-00445,Norden,12.1,rent,
T-00446,Norden,12.8,rent,
T-00447,Syd,13.5,rent,
T-00448,Norden,14.2,rent,
T-00449,Norden,14.9,rent,
T-00450,Syd,15.6,rent,
T-00451,Norden,16.3,rent,
T-00452,Norden,17.0,rent,
T-00453,Syd,17.7,rent,
T-00454,Norden,18.4,rent,
T-00455,Norden,19.1,rent,
T-00456,Syd,19.8,rent,
T-00457,Norden,20.5,rent,
T-00458,Norden,21.2,rent,
T-00459,Syd,10.0,rent,
T-00460,Norden,10.7,rent,
T-00461,Norden,11.4,rent,
T-00462,Syd,12.1,rent,
T-00463,Norden,12.8,rent,
T-00464,Norden,13.5,rent,
T-00465,Syd,14.2,rent,
T-00466,Norden,14.9,rent,
T-00467,Norden,15.6,rent,
T-00468,Syd,16.3,rent,
T-00469,Norden,17.0,rent,
T-00470,Norden,17.7,rent,
T-00471,Syd,18.4,rent,
T-00472,Norden,19.1,rent,
T-00473,Norden,19.8,rent,
T-00474,Syd,20.5,rent,
T-00475,Norden,21.2,rent,
T-00476,Norden,10.0,rent,
T-00477,Syd,10.7,rent,
T-00478,Norden,11.4,rent,
T-00479,Norden,12.1,rent,
T-00480,Syd,12.8,rent,
T-00481,Norden,13.5,rent,
T-00482,Norden,14.2,rent,
T-00483,Syd,14.9,rent,
T-00484,Norden,15.6,rent,
T-00485,Norden,16.3,rent,
T-00486,Syd,17.0,rent,
T-00487,Norden,17.7,rent,
T-00488,Norden,18.4,rent,
T-00489,Syd,19.1,rent,
T-00490,Norden,19.8,rent,
T-00491,Norden,20.5,rent,
T-00492,Syd,21.2,rent,
T-00493,Norden,10.0,rent,
T-00494,Norden,10.7,rent,
T-00495,Syd,11.4,rent,
T-00496,Norden,12.1,rent,
T-00497,Norden,12.8,rent,
T-00498,Syd,13.5,rent,
T-00499,Norden,14.2,rent,
T-00500,Norden,14.9,rent,
T-00501,Syd,15.6,rent,
T-00502,Norden,16.3,rent,
T-00503,Norden,17.0,rent,
T-00504,Syd,17.7,rent,
T-00505,Norden,18.4,rent,
T-00506,Norden,19.1,rent,
T-00507,Syd,19.8,rent,
T-00508,Norden,20.5,rent,
T-00509,Norden,21.2,rent,
T-00510,Syd,10.0,rent,
T-00511,Norden,10.7,rent,
T-00512,Norden,999.99,adjustment,RECON_EXCEPTION_Q2
T-00513,Syd,12.1,rent,
T-00514,Norden,12.8,rent,
T-00515,Norden,13.5,rent,
T-00516,Syd,14.2,rent,
T-00517,Norden,14.9,rent,
T-00518,Norden,15.6,rent,
T-00519,Syd,16.3,rent,
T-00520,Norden,17.0,rent,
T-00521,Norden,17.7,rent,
T-00522,Syd,18.4,rent,
T-00523,Norden,19.1,rent,
T-00524,Norden,19.8,rent,
T-00525,Syd,20.5,rent,
T-00526,Norden,21.2,rent,
T-00527,Norden,10.0,rent,
T-00528,Syd,10.7,rent,
T-00529,Norden,11.4,rent,
T-00530,Norden,12.1,rent,
T-00531,Syd,12.8,rent,
T-00532,Norden,13.5,rent,
T-00533,Norden,14.2,rent,
T-00534,Syd,14.9,rent,
T-00535,Norden,15.6,rent,
T-00536,Norden,16.3,rent,
T-00537,Syd,17.0,rent,
T-00538,Norden,17.7,rent,
T-00539,Norden,18.4,rent,
T-00540,Syd,19.1,rent,
T-00541,Norden,19.8,rent,
T-00542,Norden,20.5,rent,
T-00543,Syd,21.2,rent,
T-00544,Norden,10.0,rent,
T-00545,Norden,10.7,rent,
T-00546,Syd,11.4,rent,
T-00547,Norden,12.1,rent,
T-00548,Norden,12.8,rent,
T-00549,Syd,13.5,rent,
T-00550,Norden,14.2,rent,
T-00551,Norden,14.9,rent,
T-00552,Syd,15.6,rent,
T-00553,Norden,16.3,rent,
T-00554,Norden,17.0,rent,
T-00555,Syd,17.7,rent,
T-00556,Norden,18.4,rent,
T-00557,Norden,19.1,rent,
T-00558,Syd,19.8,rent,
T-00559,Norden,20.5,rent,
T-00560,Norden,21.2,rent,
T-00561,Syd,10.0,rent,
T-00562,Norden,10.7,rent,
T-00563,Norden,11.4,rent,
T-00564,Syd,12.1,rent,
T-00565,Norden,12.8,rent,
T-00566,Norden,13.5,rent,
T-00567,Syd,14.2,rent,
T-00568,Norden,14.9,rent,
T-00569,Norden,15.6,rent,
T-00570,Syd,16.3,rent,
T-00571,Norden,17.0,rent,
T-00572,Norden,17.7,rent,
T-00573,Syd,18.4,rent,
T-00574,Norden,19.1,rent,
T-00575,Norden,19.8,rent,
T-00576,Syd,20.5,rent,
T-00577,Norden,21.2,rent,
T-00578,Norden,10.0,rent,
T-00579,Syd,10.7,rent,
T-00580,Norden,11.4,rent,
T-00581,Norden,12.1,rent,
T-00582,Syd,12.8,rent,
T-00583,Norden,13.5,rent,
T-00584,Norden,14.2,rent,
T-00585,Syd,14.9,rent,
T-00586,Norden,15.6,rent,
T-00587,Norden,16.3,rent,
T-00588,Syd,17.0,rent,
T-00589,Norden,17.7,rent,
T-00590,Norden,18.4,rent,
T-00591,Syd,19.1,rent,
T-00592,Norden,19.8,rent,
T-00593,Norden,20.5,rent,
T-00594,Syd,21.2,rent,
T-00595,Norden,10.0,rent,
T-00596,Norden,10.7,rent,
T-00597,Syd,11.4,rent,
T-00598,Norden,12.1,rent,
T-00599,Norden,12.8,rent,
T-00600,Syd,13.5,rent,
